pokemonId,latitude,longitude,city,continent,number,pokemon_name,pic_url,main_type,secondary_type,region,category,height,weight,pokemon_family,attack,defense,stamina,cp_range,hp_range,capture_rate,flee_rate,male_perc,female_perc,resistance,weakness,wild_avail,egg_avail,raid_avail,research_avail,shiny,shadow,pkedex_desc,poss_attacks
129,51.998962,-0.599538,London,Europe,129,Magikarp,https://static.wikia.nocookie.net/pokemongo/images/0/01/Magikarp.png,Water,,Kanto,Fish,0.9 m,10 kg,Magikarp family,29,85,85,10-274,10-79,70%,15%,50%,50%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}",Yes ,No,Formerly  (1st tier level),Yes ,Yes,Yes,Magikarp is a pathetic excuse for a Pokémon that is only capable of flopping and splashing. This behavior prompted scientists to undertake research into it.,"['Splash', 'Struggle']"
23,36.205395,-119.358926,Los_Angeles,America,23,Ekans,https://static.wikia.nocookie.net/pokemongo/images/1/11/Ekans.png,Poison,,Kanto,Snake,2 m,6.9 kg,Ekans family,110,97,111,10-927,10-99,50%,15%,50%,50%,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Grass', 'Poison']}","{'160%': ['Ground', 'Psychic']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,"['Acid', 'Poison Sting', 'Poison Fang', 'Sludge Bomb', 'Wrap', 'Gunk Shot']"
16,39.445105,-77.447922,New_York,America,16,Pidgey,https://static.wikia.nocookie.net/pokemongo/images/b/b7/Pidgey.png,Normal,Flying,Kanto,Tiny,0.3 m,1.8 kg,Pidgey family,85,73,120,10-680,11-106,50%,20%,50%,50%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ghost', 'Ground']}","{'160%': ['Electric', 'Ice', 'Rock']}",Yes ,No,No  ,Formerly ,Yes,No,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.","['Quick Attack', 'Tackle', 'Aerial Ace', 'Air Cutter', 'Twister']"
69,50.1843,14.656449,Prague,Europe,69,Bellsprout,https://static.wikia.nocookie.net/pokemongo/images/d/d1/Bellsprout.png,Grass,Poison,Kanto,Flower,0.7 m,4 kg,Bellsprout family,139,61,137,"11-1,033",12-120,50%,15%,50%,50%,"{'62.5%': ['Electric', 'Fairy', 'Fighting', 'Water'], '39%': ['Grass']}","{'160%': ['Fire', 'Flying', 'Ice', 'Psychic']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,"Bellsprout's thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.","['Acid', 'Vine Whip', 'Power Whip', 'Sludge Bomb', 'Wrap']"
96,49.187771,-0.36142,Paris,Europe,96,Drowzee,https://static.wikia.nocookie.net/pokemongo/images/5/5d/Drowzee.png,Psychic,,Kanto,Hypnosis,1 m,32.4 kg,Drowzee family,89,136,155,"11-1,040",14-134,50%,10%,50%,50%,"{'62.5%': ['Fighting', 'Psychic']}","{'160%': ['Bug', 'Dark', 'Ghost']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,"If your nose becomes itchy while you are sleeping, it's a sure sign that one of these Pokémon is standing above your pillow and trying to eat your dream through your nostrils.","['Confusion', 'Pound', 'Psybeam', 'Psychic', 'Psyshock']"
60,36.973247,-121.952688,Los_Angeles,America,60,Poliwag,https://static.wikia.nocookie.net/pokemongo/images/9/90/Poliwag.png,Water,,Kanto,Tadpole,0.6 m,12.4 kg,Poliwag family,101,82,120,10-829,11-106,50%,15%,50%,50%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}",Yes ,Yes (2-km Eggs),Formerly  (1st tier level),Yes ,Yes,Yes,"Poliwag has a very thin skin. It is possible to see the Pokémon's spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it.","['Bubble', 'Mud Shot', 'Body Slam', 'Bubble Beam', 'Mud Bomb']"
69,20.541517,-97.44908,Mexico_City,America,69,Bellsprout,https://static.wikia.nocookie.net/pokemongo/images/d/d1/Bellsprout.png,Grass,Poison,Kanto,Flower,0.7 m,4 kg,Bellsprout family,139,61,137,"11-1,033",12-120,50%,15%,50%,50%,"{'62.5%': ['Electric', 'Fairy', 'Fighting', 'Water'], '39%': ['Grass']}","{'160%': ['Fire', 'Flying', 'Ice', 'Psychic']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,"Bellsprout's thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.","['Acid', 'Vine Whip', 'Power Whip', 'Sludge Bomb', 'Wrap']"
116,44.339059,-72.756788,New_York,America,116,Horsea,https://static.wikia.nocookie.net/pokemongo/images/6/6c/Horsea.png,Water,,Kanto,Dragon,0.4 m,8 kg,Horsea family,129,103,102,"11-1,056",10-92,50%,10%,50%,50%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,"Horsea eats small insects and moss off of rocks. If the ocean current turns fast, this Pokémon anchors itself by wrapping its tail around rocks or coral to prevent being washed away.","['Bubble', 'Water Gun', 'Bubble Beam', 'Dragon Pulse', 'Flash Cannon']"
13,50.072741,20.002199,Warsaw,Europe,13,Weedle,https://static.wikia.nocookie.net/pokemongo/images/d/d6/Weedle.png,Bug,Poison,Kanto,Hairy,0.3 m,3.2 kg,Weedle family,63,50,120,10-456,11-106,50%,20%,50%,50%,"{'62.5%': ['Bug', 'Fairy', 'Poison'], '39%': ['Fighting', 'Grass']}","{'160%': ['Fire', 'Flying', 'Psychic', 'Rock']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,"['Bug Bite', 'Poison Sting', 'Struggle']"
69,46.004234,8.952618,Zurich,Europe,69,Bellsprout,https://static.wikia.nocookie.net/pokemongo/images/d/d1/Bellsprout.png,Grass,Poison,Kanto,Flower,0.7 m,4 kg,Bellsprout family,139,61,137,"11-1,033",12-120,50%,15%,50%,50%,"{'62.5%': ['Electric', 'Fairy', 'Fighting', 'Water'], '39%': ['Grass']}","{'160%': ['Fire', 'Flying', 'Ice', 'Psychic']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,"Bellsprout's thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.","['Acid', 'Vine Whip', 'Power Whip', 'Sludge Bomb', 'Wrap']"
